Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
3,5,2,1,1,2,38,17,10,17,4,3,3,5,3,5,5,4,5,3,4,0,0,1,0,5.0,5,2,3.3,0.7368421052631579
2,3,1,0,1,2,43,21,3,29,2,2,1,1,1,5,5,3,3,2,2,0,2,1,0,4.0,21,0,2.8,0.4736842105263158
1,0,1,2,1,0,20,21,0,13,4,2,5,3,4,4,3,3,3,3,4,2,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,0,0,0,24,15,10,24,3,2,4,5,3,5,5,5,5,4,5,0,2,1,47,5.0,5,2,2.8,0.4736842105263158
2,1,1,0,0,2,21,24,2,27,3,1,3,1,2,4,4,1,1,1,1,0,2,1,1,4.0,5,2,2.8,0.4736842105263158
2,1,0,2,1,2,20,25,4,27,4,1,3,1,1,5,2,1,1,2,2,0,2,1,5,4.0,5,2,2.25,0.1842105263157895
2,1,1,0,0,2,21,25,1,27,2,2,3,1,1,4,4,1,2,2,2,3,3,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
3,5,2,0,0,2,30,21,9,27,1,1,2,1,2,5,4,2,2,1,1,0,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,0,2,0,1,2,44,13,4,27,4,2,3,2,2,5,5,3,2,2,2,0,2,1,27,4.0,5,2,3.3,0.7368421052631579
1,3,1,0,1,2,20,17,4,28,3,1,1,2,1,5,5,2,2,2,2,0,2,1,0,5.0,5,2,2.8,0.4736842105263158
1,3,1,0,0,2,43,21,11,22,2,1,1,2,1,5,5,2,2,2,2,0,3,1,4,5.0,5,2,2.8,0.4736842105263158
2,1,1,0,0,2,21,25,14,27,2,1,2,2,1,5,3,2,2,3,2,0,2,1,0,4.0,5,2,2.8,0.4736842105263158
2,1,1,0,1,2,20,25,14,27,3,2,2,1,1,4,3,2,2,1,1,0,2,1,49,4.0,5,2,2.8,0.4736842105263158
1,1,1,0,0,0,21,25,14,27,4,1,2,2,1,4,4,2,2,2,2,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,1,0,1,0,44,25,14,15,2,1,1,2,1,4,3,2,2,2,3,0,2,1,16,4.0,5,2,2.8,0.4736842105263158
0,1,0,0,1,2,20,4,4,27,2,2,3,2,1,4,4,2,2,3,2,0,0,1,28,5.0,5,2,2.25,0.1842105263157895
1,1,0,0,1,2,43,24,0,16,2,2,1,2,1,4,4,3,2,2,2,0,0,1,49,3.0,5,2,2.25,0.1842105263157895
1,2,0,2,1,2,2,25,14,16,2,2,3,2,1,4,4,2,1,1,2,3,0,1,45,3.0,5,2,2.25,0.1842105263157895
2,3,1,2,1,2,20,12,7,29,2,2,3,2,1,5,3,2,2,1,1,0,2,1,0,3.0,5,2,2.8,0.4736842105263158
2,3,2,2,1,2,43,4,17,22,3,2,2,2,1,5,4,3,2,2,2,0,2,1,12,5.0,5,2,3.3,0.7368421052631579
3,0,2,0,0,2,26,17,4,22,3,2,3,3,1,5,5,2,2,3,2,0,2,1,6,4.0,5,2,3.3,0.7368421052631579
0,2,0,0,0,0,27,25,14,27,2,2,3,2,2,5,4,3,3,3,2,3,2,1,48,4.0,5,2,2.25,0.1842105263157895
2,4,1,0,0,0,30,25,1,27,2,1,2,2,2,4,4,2,2,2,2,3,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
