Timestamp,Year of study,Faculty ,Your GPA Range  ,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events? ,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences? 
04/08/2025 02:45:46,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Business & Management",University LMS,Required for exams,"Video Lectures, Notes/PDF, Discussion Forums",5,4,4,5,4,4,3,4,5,3,4,Hybrid,Monthly,Yes,Tech event,4,,
04/08/2025 02:46:54,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",3,2,2,1,1,5,4,1,2,1,2,Hybrid,Occasionally,No,,,,
04/08/2025 02:47:37,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Business & Management",University LMS,Based on interest,"Video Lectures, Notes/PDF",4,3,5,3,4,4,4,4,3,4,5,Hybrid,Monthly,Yes,Academic,4,,
04/08/2025 02:48:42,2nd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Science, Psychology","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",2,1,1,1,1,4,3,1,2,1,1,Online,Rarely,No,,,,
04/08/2025 02:49:20,2nd Year,Applied Sciences,,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Technology, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning","Based on interest, Recommended by peers, Required for exams","Interactive Quizzes, Discussion Forums, Live Sessions",1,2,3,4,3,4,4,5,2,5,5,Hybrid,Monthly,Yes,,,,
04/08/2025 02:49:58,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",1,1,2,1,1,4,4,1,2,1,1,Hybrid,Occasionally,No,,,,
04/08/2025 02:51:12,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF",4,3,4,5,4,4,3,3,4,3,5,Hybrid,Weekly,Yes,Career-related,4,,
04/08/2025 02:51:14,1st Year,Applied Sciences,Below 2.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events",Technology,YouTube,Random browsing,Video Lectures,2,1,2,1,1,3,3,1,2,1,1,Online,Occasionally,Yes,,,,
04/08/2025 02:52:53,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, University LMS",Based on interest,"Video Lectures, Notes/PDF",2,2,3,2,1,5,4,2,2,1,1,Hybrid,Occasionally,No,,,,
04/08/2025 02:54:15,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Psychology, Competitive Exams / Certifications","YouTube, KhanAcademy",Based on interest,"Video Lectures, Interactive Quizzes",4,4,4,5,4,4,4,4,4,3,5,Hybrid,Monthly,Yes,Career-related,4,,
