Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Science,"YouTube, University LMS","Based on interest, Required for exams, Suggested by platform","Video Lectures, Interactive Quizzes",3,3,3,4,3,4,4,5,4,4,5,Online,Occasionally,Yes,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Recommended by peers, Required for exams","Video Lectures, Live Sessions",2,2,4,5,4,4,4,5,3,5,4,Online,Monthly,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Science, Competitive Exams / Certifications","YouTube, Coursera, LinkedIn Learning","Based on interest, Suggested by platform","Discussion Forums, Live Sessions",5,4,3,5,3,4,2,4,2,2,4,Hybrid,Rarely,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS",Suggested by platform,"Notes/PDF, Discussion Forums",2,2,2,4,2,4,5,4,5,4,5,Hybrid,Occasionally,Yes,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event","Science, Competitive Exams / Certifications","YouTube, Coursera","Based on interest, Suggested by platform","Video Lectures, Discussion Forums, Live Sessions",2,2,2,5,4,4,5,5,4,5,5,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Competitive Exams / Certifications","Coursera, University LMS","Based on interest, Required for exams","Video Lectures, Live Sessions",3,3,4,4,4,4,4,5,3,4,4,Online,Rarely,Yes,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Based on interest,"Interactive Quizzes, Live Sessions",2,2,3,4,3,4,4,3,4,5,5,Hybrid,Monthly,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Required for exams","Video Lectures, Notes/PDF",3,3,4,4,2,4,3,5,4,3,5,Online,Rarely,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Required for exams, Suggested by platform","Video Lectures, Interactive Quizzes",2,2,3,3,3,4,5,5,4,5,5,Hybrid,Monthly,Yes,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Technology, Psychology","YouTube, KhanAcademy",Based on interest,"Video Lectures, Notes/PDF",5,3,4,3,4,5,4,4,3,4,5,Online,Monthly,Yes,Academic,4.0,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Psychology","YouTube, University LMS",Based on interest,"Video Lectures, Notes/PDF",5,5,5,4,4,4,4,3,5,3,4,Hybrid,Occasionally,Yes,Tech,5.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",3,2,2,3,2,5,5,3,3,2,1,Online,Occasionally,Yes,Academic,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS",Random browsing,"Video Lectures, Notes/PDF, Live Sessions",2,2,3,2,3,5,5,4,3,3,3,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events",Science,"YouTube, LinkedIn Learning, University LMS","Based on interest, Random browsing","Video Lectures, Discussion Forums",3,3,4,2,2,5,4,3,3,2,3,Online,Monthly,Yes,"Academic,sports",3.0,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Science, Soft Skills (Communication, Leadership)","Coursera, University LMS",Random browsing,Notes/PDF,3,4,5,2,3,5,4,3,3,2,2,Physical,Rarely,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",4,3,3,2,2,5,4,3,3,3,2,Online,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology","LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams",Notes/PDF,3,2,3,3,3,5,5,2,2,2,2,Hybrid,Occasionally,Yes,sports,4.0,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science","YouTube, LinkedIn Learning, University LMS",Random browsing,"Video Lectures, Notes/PDF",4,3,4,3,2,4,4,1,1,1,1,Physical,Monthly,Yes,Cultural,5.0,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF, Live Sessions",4,5,5,3,5,5,5,3,4,3,3,Hybrid,Monthly,Yes,"sports,Acdemic,Cultural",4.0,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Psychology","LinkedIn Learning, University LMS","Required for exams, Random browsing",Notes/PDF,1,1,1,1,1,4,1,2,2,1,1,Hybrid,Rarely,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"No, I prefer familiar events",Psychology,YouTube,Random browsing,Video Lectures,2,1,2,1,2,5,4,2,1,1,2,Physical,Rarely,Yes,Academic,5.0,Good,No
3rd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, University LMS",Random browsing,"Video Lectures, Discussion Forums",3,3,3,3,3,5,2,1,2,2,2,Online,Weekly,Yes,Academic,4.0,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, KhanAcademy, LinkedIn Learning, University LMS","Based on interest, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",5,3,5,3,3,5,4,3,3,3,3,Hybrid,Occasionally,Yes,Sports,5.0,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Recommended by peers, Random browsing","Video Lectures, Notes/PDF",3,2,2,1,2,5,2,2,2,1,1,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Required for exams","Video Lectures, Live Sessions",5,3,2,4,3,2,4,5,3,4,3,Hybrid,Occasionally,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",5,2,2,2,2,4,4,2,2,2,1,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology","Coursera, University LMS","Recommended by peers, Suggested by platform","Interactive Quizzes, Live Sessions",2,5,3,4,4,5,5,5,3,4,5,Online,Monthly,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology, Competitive Exams / Certifications","Coursera, KhanAcademy","Required for exams, Suggested by platform","Interactive Quizzes, Notes/PDF",1,1,2,4,3,5,2,5,3,1,5,Online,Monthly,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology",YouTube,"Based on interest, Required for exams","Video Lectures, Interactive Quizzes",3,3,2,3,4,4,5,5,5,5,4,Hybrid,Occasionally,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)",University LMS,Required for exams,"Video Lectures, Interactive Quizzes",4,3,4,5,3,4,3,4,5,4,5,Hybrid,Monthly,Yes,Tech events,4.0,Good,No
1st Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Science, Psychology, Competitive Exams / Certifications","YouTube, University LMS","Based on interest, Recommended by peers","Interactive Quizzes, Live Sessions",2,2,3,2,4,4,3,4,3,2,4,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Soft Skills (Communication, Leadership)",YouTube,Based on interest,"Video Lectures, Notes/PDF",4,2,3,5,4,4,3,3,5,4,5,Hybrid,Monthly,Yes,Career-related,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Business & Management","YouTube, University LMS","Based on interest, Required for exams","Notes/PDF, Live Sessions",4,4,4,5,4,5,3,4,5,3,4,Hybrid,Monthly,Yes,Academic ,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","Coursera, LinkedIn Learning","Based on interest, Required for exams","Interactive Quizzes, Notes/PDF, Live Sessions",3,4,4,5,3,5,5,5,3,5,5,Online,Monthly,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",4,3,3,4,2,5,1,4,2,3,1,Online,Monthly,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, Coursera","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",4,3,2,2,2,5,4,2,2,3,2,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Live Sessions",2,3,2,2,2,5,4,2,3,2,3,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Technology,YouTube,Random browsing,Video Lectures,2,2,3,2,1,4,4,2,1,1,1,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Business & Management",University LMS,Required for exams,"Video Lectures, Notes/PDF, Discussion Forums",5,4,4,5,4,4,3,4,5,3,4,Hybrid,Monthly,Yes,Tech event,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",3,2,2,1,1,5,4,1,2,1,2,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Business & Management",University LMS,Based on interest,"Video Lectures, Notes/PDF",4,3,5,3,4,4,4,4,3,4,5,Hybrid,Monthly,Yes,Academic,4.0,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Science, Psychology","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",2,1,1,1,1,4,3,1,2,1,1,Online,Rarely,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Technology, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning","Based on interest, Recommended by peers, Required for exams","Interactive Quizzes, Discussion Forums, Live Sessions",1,2,3,4,3,4,4,5,2,5,5,Hybrid,Monthly,Yes,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",1,1,2,1,1,4,4,1,2,1,1,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF",4,3,4,5,4,4,3,3,4,3,5,Hybrid,Weekly,Yes,Career-related,4.0,Good,No
1st Year,Applied Sciences,Below 2.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events",Technology,YouTube,Random browsing,Video Lectures,2,1,2,1,1,3,3,1,2,1,1,Online,Occasionally,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, University LMS",Based on interest,"Video Lectures, Notes/PDF",2,2,3,2,1,5,4,2,2,1,1,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Psychology, Competitive Exams / Certifications","YouTube, KhanAcademy",Based on interest,"Video Lectures, Interactive Quizzes",4,4,4,5,4,4,4,4,4,3,5,Hybrid,Monthly,Yes,Career-related,4.0,Good,No
1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",2,2,3,1,2,4,1,2,2,1,1,Physical,Occasionally,Yes,Academy,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","Coursera, LinkedIn Learning","Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF",1,3,4,4,4,5,5,5,4,5,4,Online,Monthly,Yes,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, KhanAcademy, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,2,4,2,2,5,5,1,2,2,1,Hybrid,Occasionally,Yes,"Academic,sports",3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Psychology,"YouTube, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,2,1,2,2,3,4,2,2,2,2,Physical,Rarely,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","KhanAcademy, University LMS",Based on interest,"Notes/PDF, Live Sessions",1,2,1,2,3,1,2,3,3,3,3,Online,Monthly,Yes,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Business & Management, Competitive Exams / Certifications","YouTube, University LMS",Required for exams,"Video Lectures, Interactive Quizzes",5,3,4,4,4,3,4,5,4,4,5,Hybrid,Monthly,Yes,Cultural,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications","Coursera, KhanAcademy, University LMS",Random browsing,"Video Lectures, Notes/PDF, Live Sessions",2,1,2,1,1,2,5,2,2,1,1,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Business & Management, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning","Based on interest, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF",3,5,5,4,1,4,4,3,4,2,5,Online,No preference,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Psychology, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS",Suggested by platform,Notes/PDF,3,5,3,2,1,3,4,5,3,4,5,Online,Occasionally,Yes,Social ,4.0,Meet new people,-
2nd Year,Applied Sciences,Below 2.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS","Recommended by peers, Required for exams","Video Lectures, Interactive Quizzes, Discussion Forums",2,4,5,4,3,4,5,3,3,1,4,Physical,Occasionally,Yes,Sports meet,4.0,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Science,"YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers, Required for exams",Notes/PDF,4,3,4,3,4,3,4,3,5,5,4,No preference,Monthly,Yes, Sports ,3.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF, Discussion Forums",3,2,4,2,4,3,3,2,5,3,2,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Psychology,University LMS,Suggested by platform,Notes/PDF,2,3,4,3,2,2,3,2,4,2,5,Hybrid,Occasionally,Yes,Career-related,5.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Suggested by platform","Video Lectures, Notes/PDF",3,4,3,2,3,2,3,3,5,2,4,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Technology, Business & Management, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS","Random browsing, Suggested by platform",Notes/PDF,2,2,3,2,3,2,1,2,5,2,4,Hybrid,Monthly,Yes,"Career-related ,Academic",4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF, Live Sessions",3,3,2,3,2,2,4,2,5,3,4,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Technology, Competitive Exams / Certifications",University LMS,Suggested by platform,Notes/PDF,4,4,3,4,3,2,3,4,4,3,3,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),No preference,"No, I prefer familiar events",Technology,University LMS,Suggested by platform,Notes/PDF,3,3,2,3,4,2,4,4,5,4,4,Physical,Monthly,Yes,Academic,5.0,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Competitive Exams / Certifications",University LMS,Suggested by platform,Notes/PDF,4,4,4,4,4,2,4,4,5,4,4,Physical,Monthly,Yes,Academic,5.0,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS",Suggested by platform,Notes/PDF,4,4,5,4,5,2,4,4,5,4,4,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Technology,University LMS,Suggested by platform,Notes/PDF,5,4,5,4,5,2,4,5,5,4,5,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,Below 2.0,Extrovert (I enjoy being with others),Group activities,"No, I prefer familiar events",Technology,"LinkedIn Learning, University LMS","Random browsing, Suggested by platform",Notes/PDF,5,5,4,4,4,3,4,4,5,4,4,Physical,Occasionally,Yes,Academic,5.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event",Technology,University LMS,Random browsing,Notes/PDF,4,4,4,4,4,3,3,4,4,5,4,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,Below 2.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Technology,University LMS,Based on interest,Notes/PDF,5,5,4,4,5,1,4,4,5,4,5,Physical,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Technology,University LMS,Random browsing,Notes/PDF,4,4,4,4,5,1,4,5,5,4,4,Online,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events",Technology,University LMS,Random browsing,Notes/PDF,5,5,4,5,5,2,2,4,5,4,5,Hybrid,Occasionally,Yes,Academic,4.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Technology, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS",Suggested by platform,Notes/PDF,4,4,4,4,4,1,5,4,5,4,5,Online,Monthly,Yes,Academic,4.0,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Technology, Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS",Suggested by platform,"Video Lectures, Notes/PDF",5,4,5,4,5,1,2,4,5,5,5,Hybrid,Occasionally,Yes,"Academic,career-related",5.0,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Psychology","YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Suggested by platform","Video Lectures, Notes/PDF, Live Sessions",3,4,5,4,5,3,4,4,5,5,5,Online,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Technology,University LMS,Suggested by platform,Notes/PDF,4,4,4,4,4,2,3,3,5,4,5,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Suggested by platform","Video Lectures, Notes/PDF, Live Sessions",4,4,4,4,4,3,3,4,5,4,4,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Technology,University LMS,Recommended by peers,Notes/PDF,5,4,4,5,4,2,3,5,5,5,5,Online,Occasionally,No,Academic,3.9066666666666667,Good,No
2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),No preference,"No, I prefer familiar events","Technology, Psychology","YouTube, University LMS","Based on interest, Suggested by platform","Video Lectures, Notes/PDF",5,5,5,5,5,1,4,5,5,5,5,Online,Occasionally,No,Academic,5.0,Good,No
2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events",Technology,University LMS,Based on interest,Notes/PDF,4,4,4,5,5,1,3,4,5,5,5,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
